,price,bd_num,ba_num,sqft,address,zestimate,Building,Calendar,Heating,Snowflake,Parking,Lot,PriceSquareFeet,url,zipcode
0,"$99,900",3,2,"2,388","1712 Noble St,Pittsburgh, PA 15215","$94,100",Single family residence,Built in 1900,"Natural gas, hot water",No data,2 Attached garage spaces,"3,500 sqft",$42 price/sqft,https://www.zillow.com/homedetails/1712-Noble-St-Pittsburgh-PA-15215/11333982_zpid/,15215
1,"$139,900",3,1,"1,008","212 Kirkwood Dr,Pittsburgh, PA 15215",None ,Single family residence,Built in 1963,"Natural gas, hot water",No data,1 Attached garage space,"10,454 sqft",$139 price/sqft,https://www.zillow.com/homedetails/212-Kirkwood-Dr-Pittsburgh-PA-15215/11332939_zpid/,15215
2,"$200,000",3,2,"3,104","1322-1322&1324 Main St,Pittsburgh, PA 15215",None ,Single family residence,Built in 1930,"Natural gas, steam",No data,4 Garage spaces,No data,$64 price/sqft,https://www.zillow.com/homedetails/1322-13221324-Main-St-Pittsburgh-PA-15215/2067321306_zpid/,15215
3,"$100,000",3,1,"1,416","11 Ravine St,Pittsburgh, PA 15215","$95,500",Single family residence,Built in 1896,Natural gas,Central air,Off street,"3,070 sqft",$71 price/sqft,https://www.zillow.com/homedetails/11-Ravine-St-Pittsburgh-PA-15215/11333185_zpid/,15215
4,"$239,000",2,1,"1,054","105 Delafield Rd,Pittsburgh, PA 15215","$234,600",Single family residence,Built in 1948,"Natural gas, forced air",Central air,3 Garage spaces,"3,880 sqft",$227 price/sqft,https://www.zillow.com/homedetails/105-Delafield-Rd-Pittsburgh-PA-15215/11336562_zpid/,15215
5,"$289,900",3,4,"1,913","1850 Middle St,Pittsburgh, PA 15215",Contact Agent,Single family residence,Built in 1885,"Natural gas, forced air",Electric,2 Open parking spaces,"1,776 sqft",$152 price/sqft,https://www.zillow.com/homedetails/1850-Middle-St-Pittsburgh-PA-15215/11334514_zpid/,15215
6,"$169,900",3,2,"1,890","214 20th St,Pittsburgh, PA 15215","$162,800",Single family residence,Built in 1900,"Natural gas, forced air","Central air, window a/c",1 Open parking space,"2,352 sqft",$90 price/sqft,https://www.zillow.com/homedetails/214-20th-St-Pittsburgh-PA-15215/11334840_zpid/,15215
7,"$279,900",3,1,--,"717 Center Ave,Pittsburgh, PA 15215","$279,900",Single family residence,,Natural gas,No data,No data,2.31 Acres,,https://www.zillow.com/homedetails/717-Center-Ave-Pittsburgh-PA-15215/2067441519_zpid/,15215
8,"$375,500",3,2,"1,968","408 Brilliant Ave,Pittsburgh, PA 15215","$388,100",Single family residence,Built in 1935,"Natural gas, forced air",Central air,4 Parking spaces,"3,663 sqft",$191 price/sqft,https://www.zillow.com/homedetails/408-Brilliant-Ave-Pittsburgh-PA-15215/11335378_zpid/,15215
9,"$379,900",4,2,"1,238","617 617a 617b Center Ave,Pittsburgh, PA 15215","$379,900",Single family residence,Built in 1950,Natural gas,No data,Attached garage,No data,$307 price/sqft,https://www.zillow.com/homedetails/617-617a-617b-Center-Ave-Pittsburgh-PA-15215/2067453906_zpid/,15215
10,"$120,000",2,2,704,"2008 Noble St,Sharpsburg, PA 15215",Contact Agent,Single family residence,Built in 1964,"Natural gas, forced air",Window a/c,Open parking,"2,500 sqft",$170 price/sqft,https://www.zillow.com/homedetails/2008-Noble-St-Sharpsburg-PA-15215/11334853_zpid/,15215
11,"$485,000",6,3,"4,520","625-625 Center Ave #627,Pittsburgh, PA 15215","$466,000",Single family residence,Built in 1903,Other,No data,Off street,No data,$107 price/sqft,https://www.zillow.com/homedetails/625-625-Center-Ave-627-Pittsburgh-PA-15215/2068360859_zpid/,15215
12,"$250,000",3,2,--,"123 Harding Rd,Sharpsburg, PA 15215",Contact Agent,Single family residence,Built in 2019,Forced air,No data,Off street,0.78 Acres,,https://www.zillow.com/homedetails/123-Harding-Rd-Sharpsburg-PA-15215/11374009_zpid/,15215
13,"$84,500",--,--,--,"1026 Penn St,Pittsburgh, PA 15215",None ,Singlefamily,Built in 1900,No data,No data,4 Garage spaces,"2,500 sqft",,https://www.zillow.com/homedetails/1026-Penn-St-Pittsburgh-PA-15215/164576829_zpid/,15215
14,"$219,000",3,1,"1,612","603 Midway Dr,Pittsburgh, PA 15215","$219,200",Single family residence,Built in 1910,Natural gas,Central air,Covered,"6,995 sqft",$136 price/sqft,https://www.zillow.com/homedetails/603-Midway-Dr-Pittsburgh-PA-15215/11373670_zpid/,15215
15,"$259,000",3,2,"1,423","715 Sherwood Dr,Pittsburgh, PA 15215","$256,500",Single family residence,Built in 1956,"Natural gas, forced air",Central air,1 Attached garage space,0.35 Acres,$182 price/sqft,https://www.zillow.com/homedetails/715-Sherwood-Dr-Pittsburgh-PA-15215/11411738_zpid/,15215
16,"$245,900",3,3,"1,200","205 School St,Pittsburgh, PA 15215","$242,800",Single family residence,Built in 1957,"Natural gas, forced air",Central air,1 Open parking space,910.40 Sqft,$205 price/sqft,https://www.zillow.com/homedetails/205-School-St-Pittsburgh-PA-15215/11334063_zpid/,15215
